,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
80,After the Fall,American Airlines Theatre,249873.83333333334,52.26166666666668,0.8463583333333333,70.79593434417149,338489.300494474,196.9416666666667,4.416666666666667,0.0
81,After the Night and the Music,Biltmore Theatre,155831.3,47.068,0.6609900000000002,62.60543516156589,207270.6263237223,200.57999999999998,3.8,0.0
82,"Ah, Wilderness!",Vivian Beaumont Theater,156459.27272727274,26.108181818181812,0.7296363636363636,40.4124621508204,242149.60987066597,172.34545454545457,4.909090909090909,0.0
83,Aida,Palace Theatre,700119.8227848101,60.8007594936709,0.8492194092827003,85.8185278252351,990237.2359776107,189.2924050632911,7.814345991561181,0.0
84,Ain't Broadway Grand,Lunt-Fontanne Theatre,123682.85714285714,28.102857142857143,0.41590000000000005,49.51178839347332,217909.63814218593,151.42857142857142,3.5714285714285716,0.0
85,Ain't Misbehavin',Ambassador Theatre,231863.95652173914,33.307826086956524,0.7820304347826087,70.89756725989065,493847.3638348845,125.33478260869565,7.6521739130434785,0.0
86,Ain't Too Proud-The Life and Times of the Temptations,Imperial Theatre,1412359.4200000004,130.02849056603776,0.9657830188679246,131.27299199878757,1425846.5994352517,264.2248113207547,7.471698113207547,0.0
87,Airline Highway,Samuel J. Friedman Theatre,152110.5,41.828,0.7492199999999999,46.186093467478315,167961.9789185977,241.5888,5.3,0.0
88,Aladdin,New Amsterdam Theatre,1465862.2059424915,107.8894568690096,0.9791182108626205,114.82109440609582,1560218.915408865,250.99087539936087,7.945686900958466,0.0
89,All About Me,Henry Miller's Theatre,225749.0,52.376666666666665,0.5411333333333334,63.29287892353472,272801.02715247805,220.78083333333333,3.3333333333333335,0.0
90,All My Sons,American Airlines Theatre,478576.33461538464,92.14999999999999,0.921953846153846,93.69986557115756,486582.2731245222,262.3662307692308,6.153846153846154,0.0
91,All My Sons,Gerald Schoenfeld Theatre,648802.3529411765,86.12352941176471,0.918805882352941,105.92470853201405,797943.9349904982,216.92382352941183,5.9411764705882355,0.0
92,All My Sons,John Golden Theatre,41418.4,16.616,0.42122000000000004,37.71521861336312,93973.32365957058,117.54,6.2,0.0
93,All Shook Up,Palace Theatre,451484.09375,48.85031250000001,0.7220031249999997,64.97022492542962,600535.8110299269,200.59375000000003,6.65625,0.0
94,All The Way,Neil Simon Theatre,974636.3,108.90799999999999,0.79046,122.48956159157933,1096054.361402745,237.1542000000001,6.55,0.0
95,Allegiance,Longacre Theatre,451598.0244444444,75.86999999999999,0.7259277777777778,82.75557450014036,492601.77209304273,244.60072222222217,5.722222222222222,0.0
96,Alton Brown Live: Eat Your Science,Ethel Barrymore Theatre,580737.7,102.77,0.6885,109.89299544693029,620988.6681128808,249.502,8.0,0.0
97,Amadeus,Music Box Theatre,227938.86956521738,43.21521739130434,0.6689130434782607,64.17364011155965,338489.19710709614,179.70000000000002,7.521739130434782,0.0
98,Amazing Grace,Nederlander Theatre,307784.8333333333,59.83944444444444,0.5707166666666668,65.6730974504925,337768.89054808626,243.04138888888883,6.444444444444445,0.0
99,"Amelie, A New Musical",Walter Kerr Theatre,482470.49090909085,82.47000000000001,0.8476636363636363,87.61961069404809,512590.2663794392,251.13118181818174,5.090909090909091,0.0
100,American Buffalo,Belasco Theatre,184887.5,50.83,0.521525,62.509229673606924,227369.17570881368,216.947,2.0,0.0
101,American Idiot,St. James Theatre,698211.4385964912,76.6159649122807,0.6678491228070176,92.06033383934356,838855.6544088296,222.0387192982457,7.4035087719298245,0.0
102,American Psycho,Gerald Schoenfeld Theatre,511588.9918181818,78.28272727272729,0.8742090909090908,84.6349050198665,553023.7920903696,246.76790909090911,4.909090909090909,0.0
103,American Son,Booth Theatre,577131.3688235293,117.10764705882353,0.8434588235294119,120.27415283845473,592544.1087652898,259.7716470588234,5.705882352941177,0.0
104,Amour,Music Box Theatre,191199.85714285713,45.83142857142857,0.6288714285714285,63.84831115068112,266367.5513983638,191.5,2.4285714285714284,0.0
105,Amy's View,Ethel Barrymore Theatre,369448.5,49.924375000000005,0.93411875,75.42333743751647,558131.4329677757,176.58749999999998,6.4375,0.0
106,An Act of God,Booth Theatre,304457.13999999996,80.90333333333335,0.7085666666666666,87.07877021942014,327631.51584720763,247.8616,6.533333333333333,0.0
107,An Act of God,Studio 54,852512.7692307692,121.52615384615382,0.9070769230769231,133.87724687258398,939007.2578311146,242.16038461538466,5.846153846153846,0.0
108,An Almost Holy Picture,American Airlines Theatre,230448.81818181818,45.13545454545454,0.863,63.657383756392456,324995.0337442028,189.16363636363639,6.2727272727272725,0.0
